keyword,title,price,likes,views,brand,country,url,status,sold_confirmed,offers,published_at,age_hours,age_band,score,verdict
stanley bottle,Stanley cup,30.0,4,0,Stanley,,https://www.vinted.fr/items/9015199490,active,False,0,2026-05-29 06:55:48 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,Stanley cup,22.0,29,0,Stanley,,https://www.vinted.fr/items/8994750926,active,False,0,2026-05-29 06:55:51 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,Stanley IceFlow Bottle 1L straw,45.0,29,0,Stanley,,https://www.vinted.fr/items/8968361834,active,False,0,2026-05-22 06:55:54 CEST,504.0,1 month,0,⚠️ Low
stanley bottle,Stanley Classic Legendary Bottle | 1.0L  *NEU*,49.0,40,0,Stanley,,https://www.vinted.fr/items/8955548677,active,False,0,2026-05-22 06:55:59 CEST,504.0,1 month,0,⚠️ Low
stanley bottle,Crochet water bottle holder bag,10.0,13,0,Handmade,,https://www.vinted.fr/items/9036063530,active,False,0,,24.0,24h,3,👀 Early Watchlist
stanley bottle,Tampa anti-leack Stanley,4.0,1,0,Amazon,,https://www.vinted.fr/items/9036944480,active,False,0,2026-06-05 06:56:04 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley tumbler,29.0,28,0,Stanley,,https://www.vinted.fr/items/8973125976,active,False,0,,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup,35.0,85,0,Stanley,,https://www.vinted.fr/items/8965721246,active,False,0,2026-05-22 06:56:12 CEST,504.0,1 month,0,⚠️ Low
stanley bottle,Grey Stanley cup 1L,38.0,3,0,Stanley,,https://www.vinted.fr/items/8986687222,active,False,0,2026-05-29 06:56:13 CEST,336.0,1 month,0,⚠️ Low
stanley bottle,All Fair Offers Considered: Large 750 ml Corksicle insulated canteen bottle,26.0,0,0,Corkcicle,,https://www.vinted.fr/items/9032379231,active,False,0,2026-06-05 06:56:20 CEST,168.0,1 week,0,⚠️ Low
stanley bottle,Stanley classic legendary bottle  thermal 750 ml,55.0,15,0,Stanley,,https://www.vinted.fr/items/8970177865,active,False,0,2026-05-22 06:56:24 CEST,504.0,1 month,0,⚠️ Low
stanley bottle,Stanley Quencher H2.0 FlowState Tumbler,12.0,11,0,Stanley,,https://www.vinted.fr/items/8969242189,active,False,0,2026-05-22 06:56:26 CEST,504.0,1 month,0,⚠️ Low
